epoch,train_loss,val_top1,lr,iter,memory
1,2.96632297039032,3.5714285373687744,1.8974236641221346e-05,100,2136.0
2,2.6506431341171264,3.809523820877075,3.8992366412213744e-05,205,2136.0
3,2.1065469622612,4.285714149475098,5.901049618320607e-05,310,2136.0
4,1.7567599058151244,5.238095283508301,7.902862595419842e-05,415,2136.0
5,1.7300395846366883,6.666666507720947,9.904675572519076e-05,520,2136.0
6,1.4741815328598022,8.095237731933594,9.999999999999992e-05,625,2136.0
7,1.559627389907837,9.7619047164917,9.960967771506659e-05,730,2136.0
8,1.4618893325328828,10.952381134033203,9.844486647586717e-05,835,2136.0
9,1.419809752702713,12.142857551574707,9.652393605146838e-05,940,2136.0
10,1.4096940994262694,15.952381134033203,9.387718066217117e-05,1045,2136.0
11,1.3977653324604034,19.5238094329834,9.054634122155983e-05,1150,2136.0
12,1.4265138685703278,22.619047164916992,8.65839470573598e-05,1255,2136.0
13,1.3085860013961792,25.714284896850586,8.205248749256007e-05,1360,2136.0
14,1.3071306347846985,30.952381134033203,7.702342635146025e-05,1465,2136.0
15,1.2226959347724915,35.238094329833984,7.157607493247103e-05,1570,2136.0
16,1.2839527606964112,41.66666793823242,6.579634122155983e-05,1675,2136.0
17,1.1874486207962036,44.52381134033203,5.9775375071993317e-05,1780,2136.0
18,1.2596255898475648,48.80952453613281,5.3608130716700965e-05,1885,2136.0
19,1.4244735598564149,52.619049072265625,4.739186928329894e-05,1990,2136.0
20,1.234071171283722,54.761905670166016,4.122462492800659e-05,2095,2136.0
21,1.2099070072174072,57.85714340209961,3.520365877844008e-05,2200,2136.0
22,1.3096747756004334,61.19047546386719,2.942392506752887e-05,2305,2136.0
23,1.2320950090885163,63.33333206176758,2.397657364853963e-05,2410,2136.0
24,1.3476316213607789,67.14286041259766,1.8947512507439838e-05,2515,2136.0
25,1.424609625339508,69.76190185546875,1.4416052942640125e-05,2620,2136.0
26,1.1411165475845337,72.61904907226562,1.0453658778440097e-05,2725,2136.0
27,1.3841832637786866,74.52381134033203,7.122819337828746e-06,2830,2136.0
28,1.3510082721710206,77.14286041259766,4.476063948531555e-06,2935,2136.0
29,1.1192032456398011,79.28571319580078,2.555133524132766e-06,3040,2136.0
30,1.1877715110778808,80.47618865966797,1.3903222849333503e-06,3145,2136.0
31,1.1988509058952332,82.61904907226562,1.3903222849333503e-06,3250,2136.0
32,1.1701813817024231,84.52381134033203,1.3903222849333503e-06,3355,2136.0
33,1.2677854657173158,85.23809814453125,1.3903222849333503e-06,3460,2136.0
34,1.1826952576637269,86.19047546386719,1.3903222849333503e-06,3565,2136.0
35,1.3085704922676087,86.42857360839844,1.3903222849333503e-06,3670,2136.0
36,1.266155982017517,87.14286041259766,1.3903222849333503e-06,3775,2136.0
37,1.293874090909958,88.33333587646484,1.3903222849333503e-06,3880,2136.0
38,1.3143072187900544,89.52381134033203,1.3903222849333503e-06,3985,2136.0
39,1.2737256228923797,90.47618865966797,1.3903222849333503e-06,4090,2136.0
40,1.222624659538269,90.47618865966797,1.3903222849333503e-06,4195,2136.0
41,1.2922867000102998,90.47618865966797,1.3903222849333503e-06,4300,2136.0
42,1.2448942959308624,90.47618865966797,1.3903222849333503e-06,4405,2136.0
43,1.217769694328308,90.71428680419922,1.3903222849333503e-06,4510,2136.0
44,1.2134461104869843,91.19047546386719,1.3903222849333503e-06,4615,2136.0
45,1.1432361245155334,91.66666412353516,1.3903222849333503e-06,4720,2136.0
46,1.2517091155052185,91.66666412353516,1.3903222849333503e-06,4825,2136.0
47,1.1712135553359986,92.14286041259766,1.3903222849333503e-06,4930,2136.0
48,1.2549968421459199,92.38095092773438,1.3903222849333503e-06,5035,2136.0
49,1.3804959774017334,92.85713958740234,1.3903222849333503e-06,5140,2136.0
50,1.2273019790649413,92.85713958740234,1.3903222849333503e-06,5245,2136.0
51,1.2151454567909241,92.85713958740234,1.3903222849333503e-06,5350,2136.0
52,1.3369185388088227,92.85713958740234,1.3903222849333503e-06,5455,2136.0
53,1.2469438850879668,93.57142639160156,1.3903222849333503e-06,5560,2136.0
54,1.395454204082489,93.80952453613281,1.3903222849333503e-06,5665,2136.0
55,1.3998546123504638,94.04762268066406,1.3903222849333503e-06,5770,2136.0
56,1.182634061574936,94.76190185546875,1.3903222849333503e-06,5875,2136.0
57,1.3655843496322633,95.0,1.3903222849333503e-06,5980,2136.0
58,1.4048895239830017,95.71428680419922,1.3903222849333503e-06,6085,2136.0
59,1.1459944307804109,95.95238494873047,1.3903222849333503e-06,6190,2136.0
60,1.228918617963791,95.95238494873047,1.3903222849333503e-06,6295,2136.0
61,1.1735523641109467,95.95238494873047,1.3903222849333503e-06,6400,2136.0
62,1.1904940843582152,95.95238494873047,1.3903222849333503e-06,6505,2136.0
63,1.2269717454910278,96.42857360839844,1.3903222849333503e-06,6610,2136.0
64,1.1933542490005493,96.42857360839844,1.3903222849333503e-06,6715,2136.0
65,1.3330370247364045,96.42857360839844,1.3903222849333503e-06,6820,2136.0
66,1.2693417251110077,96.42857360839844,1.3903222849333503e-06,6925,2136.0
67,1.2798711657524109,96.42857360839844,1.3903222849333503e-06,7030,2136.0
68,1.2244435727596283,96.42857360839844,1.3903222849333503e-06,7135,2136.0
69,1.2836772680282593,96.42857360839844,1.3903222849333503e-06,7240,2136.0
70,1.2397860705852508,96.42857360839844,1.3903222849333503e-06,7345,2136.0
71,1.2707849383354186,96.66666412353516,1.3903222849333503e-06,7450,2136.0
72,1.3224079847335815,96.66666412353516,1.3903222849333503e-06,7555,2136.0
73,1.1450501203536987,96.66666412353516,1.3903222849333503e-06,7660,2136.0
74,1.1773655414581299,96.66666412353516,1.3903222849333503e-06,7765,2136.0
75,1.1186335861682892,96.66666412353516,1.3903222849333503e-06,7870,2136.0
76,1.274237036705017,96.66666412353516,1.3903222849333503e-06,7975,2136.0
77,1.2323128700256347,96.66666412353516,1.3903222849333503e-06,8080,2136.0
78,1.2019949018955232,96.9047622680664,1.3903222849333503e-06,8185,2136.0
79,1.3787402749061584,97.14286041259766,1.3903222849333503e-06,8290,2136.0
80,1.1838477075099945,97.14286041259766,1.3903222849333503e-06,8395,2136.0
81,1.2173343777656556,97.14286041259766,1.3903222849333503e-06,8500,2136.0
82,1.3673451125621796,97.14286041259766,1.3903222849333503e-06,8605,2136.0
83,1.2002944231033326,97.38095092773438,1.3903222849333503e-06,8710,2136.0
84,1.4028754830360413,97.38095092773438,1.3903222849333503e-06,8815,2136.0
85,1.311893677711487,97.38095092773438,1.3903222849333503e-06,8920,2136.0
86,1.1140684187412262,97.38095092773438,1.3903222849333503e-06,9025,2136.0
87,1.3577196836471557,97.38095092773438,1.3903222849333503e-06,9130,2136.0
88,1.3753888666629792,97.61904907226562,1.3903222849333503e-06,9235,2136.0
89,1.1609094500541688,97.61904907226562,1.3903222849333503e-06,9340,2136.0
90,1.1820154368877411,97.61904907226562,1.3903222849333503e-06,9445,2136.0
91,1.195799219608307,98.0952377319336,1.3903222849333503e-06,9550,2136.0
92,1.2709412455558777,98.0952377319336,1.3903222849333503e-06,9655,2136.0
93,1.431708812713623,98.0952377319336,1.3903222849333503e-06,9760,2136.0
94,1.1689085721969605,98.0952377319336,1.3903222849333503e-06,9865,2136.0
95,1.1772253513336182,98.0952377319336,1.3903222849333503e-06,9970,2136.0
96,1.3625498414039612,98.0952377319336,1.3903222849333503e-06,10075,2136.0
97,1.2136373162269591,98.0952377319336,1.3903222849333503e-06,10180,2136.0
98,1.2980976223945617,98.0952377319336,1.3903222849333503e-06,10285,2136.0
99,1.291964066028595,98.0952377319336,1.3903222849333503e-06,10390,2136.0
100,1.140653795003891,98.33333587646484,1.3903222849333503e-06,10495,2136.0
